id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155629863168,Íris Vilariça,1 week ago,1493596221760,FBE Elders react to Beard Growing Dance Challenge,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155786388137,Rachel Deaton,1 week ago,1493596221762,FBE teens react to Lana del Rey!!!!!,5
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155835948030,Marilyn Manson,1 week ago,1493596221764,FBE React to koRn,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493155863699130,Rick,1 week ago,1493596221766,Do kids react to crazy science experiments,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156158871169,hassan messaoudi,1 week ago,1493596221768,pls react history of japan . pls .,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156166335319,babygirl melanin.,1 week ago,1493596221770,FBE React to Aaliyah,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156180494873,David Wamala,1 week ago,1493596221772,FBE adults react to dna by Kendrick Lamar!!!!,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156236460723,Leila Jones,1 week ago,1493596221774,FBE Teens or College Kids React to Yuri on Ice plz!,1
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156302540268,Hermione May,1 week ago,1493596221776,Kids react to British snacks!!!,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156328885499,TheLeesons43,1 week ago,1493596221778,Kids react to Its Wednesday Mah Dudes,0
,,,,,,,,z13zcdnynufnvz4aj04cjfnwrry1dtkoug4.1493156373745398,Gabriel Wickander,1 week ago,1493596221780,Sup mate,0
