id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
z13mgf0zqtzldz44g04cjfnwrry1dtkoug4,FBE,2 months ago,1488930575626,"Thanks for watching this episode of Kids React! What should we have the Kids react to next? Let us know in the comments! Note to Subscribers: YouTube is having issues sending videos to your homepage. If you want to get notified when we upload a video, hit the “bell” 🔔 icon above and you can get more regular phone or email notifications. -FBE Team",1366,true,379,,,,,,
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752520077932,George Mourão Silva,2 months ago,1488930580805,Teens or College Kids react to The Strokes!!,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752528210824,KillerAyano123_Aishi lol,2 months ago,1488930580818,FBE DO BRYAN ADAMS PLZ!!!!!,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752536866453,Pabloj_jobs,2 months ago,1488930580820,FBE react to red hot chili peppers,15
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752542678384,Brandon parkyn,2 months ago,1488930580822,FBE They should react to Alt-J or Gorrilaz,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752544588775,KillerAyano123_Aishi lol,2 months ago,1488930580824,FBE DO ANIME PLZ,4
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752549560659,EggRollian,2 months ago,1488930580828,FBE Yes we would very much love Queen.,8
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752551887450,James Pritchard,2 months ago,1488930580831,FBE react to monty python,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752572858348,Cassie Graham,2 months ago,1488930580832,"FBE 
Absolutely love this.",1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752575006212,Yeshua Navia,2 months ago,1488930580835,FBE ACDC,19
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752581898922,iri b,2 months ago,1488930580837,+FBE yesss please...,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752592340447,Sojy 37,2 months ago,1488930580839,sb should react to rage against the machine,7
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752617777642,Morgan Waller,2 months ago,1488930580841,FBE kids react to iron maiden,15
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752622503986,Slime Boy1,2 months ago,1488930580844,FBE kids react to Slime Boy1 but really I'm stupid in my videos,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752627255945,Billie Rose,2 months ago,1488930580847,FBE Elders react to Led Zepplin,21
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752647851067,The Black Queen,2 months ago,1488930580848,YES!!!!,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752670318026,Mr Zilla,2 months ago,1488930580852,FBE Kids react to Queen.,12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752671794634,Klassy Klown,2 months ago,1488930580854,FBE KIDS REACT TO PINK FLOYD,32
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752675087191,fnafgamer 136,2 months ago,1488930580856,FBE Bendy and the Ink Machine or tattletail or fnaf sister location,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752713137560,Emma Hines,2 months ago,1488930580858,Kids react to alice cooper,10
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752750318509,Matheus Fernandes,2 months ago,1488930580860,Elders/teens/kids react to Ghost!!!!!,12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752753309166,FlipperWolf,2 months ago,1488930580862,"Headbanging and stuff ?
Ok, now I love these kids. :p",1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752755788230,gokusondbz,2 months ago,1488930580865,+Kawaii Vampire but ladybaby broke up.,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752795608391,Miguel Carrilho,2 months ago,1488930580867,Do kids react to AC/DC or Aerosmith or Scorpions,21
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752843847820,RG Figs,2 months ago,1488930580869,FBE kids react to classic rock and roll songs,8
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752847917254,The Gamingberg,2 months ago,1488930580871,FBE  Let the kids or elder react to Ac/Dc plssss,13
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752871615250,CRYBABYLULU ROBLOX,2 months ago,1488930580873,FBE my dad was singing,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752918766419,MB Hoops,2 months ago,1488930580876,"The kids reacting to these old bands is brilliant. Bon Jovi, Queen, Van Halen, Police, Clash. Rush etc would all be awesome.",12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752925321691,Count Bleck,2 months ago,1488930580879,Kids React To Melanie Martinez,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752930235254,MiguelXx3D,2 months ago,1488930580881,FBE Kids react to Nirvana,10
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752950679788,The Cat Gaming,2 months ago,1488930580883,FBE wow am 10 and I know them,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752957997710,OldSchoolLimp,2 months ago,1488930580885,You should make a series where Teens or Kids react to different bands from the 80s and take suggestions from the viewers.,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488752977767944,Awesome Sauce,2 months ago,1488930580892,FBE React to Billy Talent,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753011306425,You're My Only ONE,2 months ago,1488930580894,REACT to Hollywood Undead,4
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753066951735,Wilson Pereya,2 months ago,1488930580896,React to Madonna,3
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753103165859,Branislav Bane Musli,2 months ago,1488930580901,Kids could react to some other bends like ZZ Top or AC DC.Or it could be metal and something like Slipknot,11
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753133339818,Danthecapoman,2 months ago,1488930580904,FBE kids react to Led Zeppelin,18
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753198683231,Shawnmine,2 months ago,1488930580906,FBE kids react to Megadeth!!!!,7
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753204059884,Bed head Boi,2 months ago,1488930580908,FBE kids react to Led Zeppelin!,17
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753222220642,XxGot7BTSFanxX,2 months ago,1488930580910,kids react to metallica,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753230570125,CRYBABYLULU ROBLOX,2 months ago,1488930580912,FBE Elvis Presley plzzzzzzzzz,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753234665071,XxGot7BTSFanxX,2 months ago,1488930580916,kids react to my chemical romance,3
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753238756608,Joe Martinez,2 months ago,1488930580919,FBE react to beatles,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753247649853,George Rocks,2 months ago,1488930580921,FBE you should do kids react to red hot chili peppers ❤,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753253387420,Laercio Alfcar,2 months ago,1488930580924,FBE kids react to pink floyd,12
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753254522305,Joselyn González,2 months ago,1488930580927,FBE   Kids react to Alf !,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753270627334,Music Man,2 months ago,1488930580929,REACT TO ELTON JOHN,2
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753284981471,Liam Mcculloch,2 months ago,1488930580931,react to halestorm,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753285761101,lukus black,2 months ago,1488930580933,"Yes. Someone has to react to YES. The Anderson Brufford Wakeman and Howe album is my favorite, with Brother of Mine.",1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753329607996,The Random D,2 months ago,1488930580936,FBE please kids react to the slo mo guys,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753399623251,Connor gutsell,2 months ago,1488930580938,Do Kids react to madness,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753430761914,rainbow unicorn,2 months ago,1488930580940,FBE do teens react to Jake Paul,1
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753514941450,H The weirdo,2 months ago,1488930580942,Kids react to Melanie Martinez or Eminem,3
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753541690477,mac attck,2 months ago,1488930580944,FBE Queen or Blink 182,9
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753594752145,Andrew Johnston,2 months ago,1488930580947,FBE elders react to first robotics competition,0
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753610922076,Frank Bradley,2 months ago,1488930580949,FBE Pink Floyd or Korean BBQ next!?,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753640818701,Ludwig Jonzon,2 months ago,1488930580952,FBE teens react to Avenged Sevenfold,11
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753706937463,Marilyn Manson,2 months ago,1488930580953,FBE i loved it how you let those kids react to the unknowner songs of them and a video awesome.,3
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753728030900,ELIT3_WARRIOR19_,2 months ago,1488930580955,FBE teens react to Disturbed,6
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753747867439,Marilyn Manson,2 months ago,1488930580957,FBE now react next to red hot chilli peppers and my life is complete,7
,,,,,,,,z13mgf0zqtzldz44g04cjfnwrry1dtkoug4.1488753776743021,Dannyninja,2 months ago,1488930580960,FBE teens react to Sml please,1
